x,y,Elevation,Aspect,Slope
274857.9469,4866056.412,-0.398005022,0.801721919,-1.101433565
274907.9469,4866056.412,-0.372995748,0.612332162,-0.810618233
274957.9469,4866056.412,-0.34422963,1.085001535,-1.115633162
275007.9469,4866056.412,-0.319636703,1.299955689,-0.870661339
275057.9469,4866056.412,-0.273263111,1.035598229,-0.011952225
275107.9469,4866056.412,-0.225036201,1.284031714,-0.503946435
275157.9469,4866056.412,-0.160030102,1.396585795,0.106034518
275207.9469,4866056.412,-0.095286902,1.271493315,-0.056316467
275257.9469,4866056.412,-0.031694183,1.159294881,-0.813527967
275307.9469,4866056.412,0.006088926,1.072368648,-0.824734612
275357.9469,4866056.412,0.040731181,0.92235222,-0.885715479
275407.9469,4866056.412,0.073882111,0.684721113,-1.209866298
275457.9469,4866056.412,0.088471459,0.711905213,-1.334567111
275507.9469,4866056.412,0.100142742,0.336218055,-1.411277941
275557.9469,4866056.412,0.086249984,-0.043736683,-1.134867528
275607.9469,4866056.412,0.079739926,0.247378184,-1.161648201
275657.9469,4866056.412,0.091726804,0.54200417,-0.22811717
275707.9469,4866056.412,0.138869901,0.550055635,0.970580526
275757.9469,4866056.412,0.18740146,0.507434817,0.487805755
275807.9469,4866056.412,0.202468604,0.39917305,0.271872048
275857.9469,4866056.412,0.253970602,0.771091633,0.600265088
275907.9469,4866056.412,0.339112907,0.917681026,0.867242024
275957.9469,4866056.412,0.427430591,0.738892595,1.62105617
276007.9469,4866056.412,0.524197342,0.544775612,1.140161441
276057.9469,4866056.412,0.5573773,0.426522625,0.191066447
276107.9469,4866056.412,0.56886014,0.302079072,0.005064443
276157.9469,4866056.412,0.541828636,-0.016783779,0.727304198
276207.9469,4866056.412,0.494891251,0.175902912,1.315847092
276257.9469,4866056.412,0.490033453,0.310212985,1.766201795
276307.9469,4866056.412,0.503225162,0.366681101,2.19954977
276357.9469,4866056.412,0.526811526,0.354841791,2.622499142
276407.9469,4866056.412,0.54538652,0.373120756,2.484711853
276457.9469,4866056.412,0.596432456,0.542474675,2.811100989
276507.9469,4866056.412,0.724036811,0.602998779,3.214615974
276557.9469,4866056.412,0.79809209,0.455559416,2.154000914
276607.9469,4866056.412,0.828005637,0.336622293,1.625183144
276657.9469,4866056.412,0.830891391,0.311081202,1.36671521
276707.9469,4866056.412,0.862211956,0.601251401,1.53286879
276757.9469,4866056.412,0.955834069,0.673355144,1.99088558
276807.9469,4866056.412,1.050069492,0.630070137,1.398174687
276857.9469,4866056.412,1.116251908,0.595769255,1.418607167
276907.9469,4866056.412,1.167045591,0.459436871,1.559506371
276957.9469,4866056.412,1.202366518,0.419851342,1.614034195
277007.9469,4866056.412,1.228486084,0.389302874,1.800245916
277057.9469,4866056.412,1.253216011,0.327033576,2.124194722
277107.9469,4866056.412,1.24464524,0.183255486,1.589775838
277157.9469,4866056.412,1.211854342,0.118755635,1.145774323
277207.9469,4866056.412,1.182056809,0.134400072,0.981189907
277257.9469,4866056.412,1.146571072,0.123212961,1.234403117
277307.9469,4866056.412,1.11020537,0.10495124,1.270379848
277357.9469,4866056.412,1.075292639,0.088610244,1.18575279
277407.9469,4866056.412,1.029990649,0.065254594,0.863646885
277457.9469,4866056.412,0.990311196,0.03406495,0.516895429
277507.9469,4866056.412,0.953495653,0.175327855,0.265980379
277557.9469,4866056.412,1.005764928,0.802815773,1.044928931
277607.9469,4866056.412,1.101008867,0.799841114,1.299099244
277657.9469,4866056.412,1.193703789,0.696055122,1.284443981
277707.9469,4866056.412,1.274913066,0.658289217,1.113879958
277757.9469,4866056.412,1.337160778,0.58380092,0.793214968
277807.9469,4866056.412,1.373912011,0.445140171,0.875693643
277857.9469,4866056.412,1.3943969,0.340575605,0.714324646
277907.9469,4866056.412,1.410752661,0.469950004,0.563423424
