band_num,band_age,e00,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,e11,e12,obs,Color Band,d_banded,tars,mass,wing,sex,fm_site,species
259082534,HY,.,.,.,.,.,.,.,.,.,b,rp,.,rc,4,"bk/a,r",5/29/09,16.2,9.95,63,U,"Campbell, R.",CACH
127243059,AHY,.,.,.,.,.,.,.,.,.,.,b,.,rc,3,"r/y,a",6/12/10,32.85,77.4,124,M,Sargeant,AMRO
129264240,AHY,.,.,.,.,.,.,.,.,.,.,b,.,rc,3,"a/w,bu",5/20/10,31.49,73.3,120.5,M,Baines,AMRO
241138000,AHY,.,.,.,.,.,.,.,.,.,.,b,.,rc,3,"o,a/w",5/14/10,28.425,36.85,88,M,Barnes,GRCA
230156772,AHY,.,.,.,.,.,.,.,.,.,rc,.,.,rc,4,"w/a,y/w",7/23/09,27.8,39.75,92.5,M,Marra-New,GRCA
241137351,ASY,.,.,.,.,.,.,.,.,.,b,.,.,rc,4,"pk/o,a",6/20/09,27.645,34.9,91,M,Land,GRCA
180109653,HY,.,.,b,rt,.,.,.,.,.,.,.,rt,.,10,"p/bk,a",8/30/02,24.475,47.4,96.5,M,Hunter,NOCA
246022747,AHY,.,.,.,.,.,.,.,.,b,rt,rprt,rp,.,4,"w,a/r",6/17/08,16.12,10.2,60,U,Colston,CACH
241137754,HY,.,.,.,.,.,.,.,.,.,b,rprt,rp,.,3,"a,w/pk",6/29/09,28.84,32,88,U,Tate,GRCA
241137713,AHY,.,.,.,.,.,.,.,.,.,b,rprt,rp,.,3,"bu/o,a",5/30/09,24.64,53,95,M,Fisher,NOCA
241137711,AHY,.,.,.,.,.,.,.,.,.,b,rprt,rp,.,3,"w,bk/a",5/30/09,23.89,40,89,F,Fisher,NOCA
234129605,AHY,.,.,.,.,.,.,.,.,b,.,rprt,rp,.,4,"r/bk, a",7/22/08,21.86,19.9,65,M,Reitsma,SOSP
230156641,AHY,.,.,.,.,.,.,.,.,b,.,rprt,rp,.,4,"y,y/a",7/8/08,,47.8,,F,Stewart,NOCA
199146192,AHY,.,.,.,.,.,.,.,.,b,rprc,rprc,rp,.,4,"pk,pk/a",7/5/08,26.66333333,34.33333333,88.5,M,Ward,GRCA
246022920,AHY,.,.,.,.,.,.,.,b,.,rprc,rprc,rp,.,5,"LB/p,a",6/27/07,16.84666667,10.86666667,47.16666667,M,Barbour,HOWR
199146191,AHY,.,.,.,.,.,.,.,.,b,rp,rprc,rp,.,4,"pk/a,r",7/5/08,28.145,35.95,88.5,M,Ward,GRCA
84176358,ASY,.,.,.,.,.,.,.,b,.,rp,rprc,rp,.,5,"bu,a/bu",5/19/09,24.19,38,94,F,"Woodward, Paul",NOCA
800121430,AHY,.,.,b,rp,rt,rp,rp,rp,rp,rprc,rp,rp,.,10,"bu,o/a",5/12/02,25.875,45.15,92.5,M,Beal,NOCA
199146141,AHY,.,.,.,.,.,.,.,b,rp,rp,rp,rp,.,5,"g,bu/a",6/27/07,26.795,33.45,87.75,M,Tate,GRCA
230156791,AHY,.,.,.,.,.,.,.,.,rc,rp,rp,rp,.,4,"bu/a, bu/w",7/22/08,25.25,31.6,82,F,Reitsma,GRCA
74229177,AHY,.,.,.,.,.,.,.,.,b,rp,rp,rp,.,4,"pk,a/o",7/5/08,32.73,65,121,F,Ward,AMRO
230156632,AHY,.,.,.,.,.,.,.,.,b,rp,rp,rp,.,4,"w,a/o",7/1/08,25.95,43.2,96,M,Land,NOCA
251003826,AHY,.,.,.,.,.,.,.,.,b,rp,rp,rp,.,4,"w/g,a",6/22/08,15.59,9.9,60,F,Fisher,CACH
