"long","lat","dd","rel.abun"
-120.8334,62.1665,-159.23500579834,0.112452387800909
-120.5001,62.1665,-161.049494781494,0.104746680591391
-118.5001,62.1665,-159.643498840332,0.0536680433195061
-118.1667,62.1665,-158.408495941162,0.0536680433195061
-117.8334,62.1665,-157.19249710083,0.0236864640080266
-117.5001,62.1665,-157.135499420166,0.0206619409380489
-117.1667,62.1665,-157.316001739502,0.0183463309420502
-116.8334,62.1665,-157.249494781494,0.0183463309420502
-116.5001,62.1665,-157.277993621826,0.0161843305297443
-116.1667,62.1665,-157.259004058838,0.0138323230492627
-122.5001,61.8332,-158.152006378174,0.146399176101832
-122.1667,61.8332,-157.885993041992,0.146399176101832
-121.8334,61.8332,-155.520502319336,0.145262527818054
-121.5001,61.8332,-155.29249710083,0.140354721049207
-121.1667,61.8332,-155.43500579834,0.134838136100396
-120.8334,61.8332,-155.76749710083,0.116459121535578
-120.5001,61.8332,-156.394500579834,0.121096985486812
-120.1667,61.8332,-157.163998260498,0.110918977750069
-119.8334,61.8332,-157.173493041992,0.0907315142098614
-118.8334,61.8332,-156.318498840332,0.0685907332129121
-118.5001,61.8332,-155.928995361328,0.0577549144835216
-118.1667,61.8332,-155.748493041992,0.0469408279939425
-117.8334,61.8332,-155.67250579834,0.021572879890964
-117.5001,61.8332,-155.748493041992,0.021572879890964
-117.1667,61.8332,-155.91000579834,0.0149819181993115
-116.8334,61.8332,-156.024001159668,0.0158033276699429
-116.5001,61.8332,-156.119006958008,0.017424801334469
-116.1667,61.8332,-156.223493041992,0.0168092562197165
-115.8334,61.8332,-156.014506378174,0.0168092562197165
-115.5001,61.8332,-155.786501159668,0.0155783578320749
-122.5001,61.4999,-155.634497680664,0.119821319078681
-122.1667,61.4999,-154.988504638672,0.127146805552917
-121.8334,61.4999,-154.751004638672,0.135279982345039
-121.5001,61.4999,-154.67500289917,0.137315840993278
-121.1667,61.4999,-154.560993041992,0.131892704347723
-120.8334,61.4999,-154.39,0.135133277428756
-120.5001,61.4999,-154.323493041992,0.118162992100287
-120.1667,61.4999,-154.551498260498,0.113420490710105
-119.8334,61.4999,-154.751004638672,0.105672663553682
-119.5001,61.4999,-154.779503479004,0.0926378976366973
-119.1667,61.4999,-154.732000579834,0.0799830901071459
-118.8334,61.4999,-154.655998840332,0.067727812114447
-118.5001,61.4999,-154.352006378174,0.0541323858920661
-118.1667,61.4999,-154.171504058838,0.0532712520383114
-117.8334,61.4999,-154.304503479004,0.0407366719685416
-117.5001,61.4999,-154.475496520996,0.0249914035169093
-117.1667,61.4999,-154.6275,0.00759457912085766
-116.8334,61.4999,-154.703501739502,0.0155214972154924
-116.5001,61.4999,-154.751004638672,0.0198054571998901
-116.1667,61.4999,-154.72250579834,0.0216502216760606
-115.8334,61.4999,-158.209004058838,0.0221082908557189
-124.5001,61.1665,-162.142003479004,0.102993711627036
-124.1667,61.1665,-159.18750289917,0.116144054888207
-123.8334,61.1665,-157.553501739502,0.116144054888207
-123.5001,61.1665,-158.37999710083,0.132236721080059
-123.1667,61.1665,-154.551498260498,0.127352604321834
-122.8334,61.1665,-153.886501159668,0.130494810077473
-122.5001,61.1665,-154.380505218506,0.124692161035825
-122.1667,61.1665,-154.684497680664,0.128947889112491
-121.8334,61.1665,-155.035993041992,0.12352837286723
-121.5001,61.1665,-155.035993041992,0.129750109477757
-121.1667,61.1665,-154.760499420166,0.137220634959446
-120.8334,61.1665,-154.494500579834,0.12588781135049
-120.5001,61.1665,-154.171504058838,0.122369136433788
-120.1667,61.1665,-153.971997680664,0.107303916234221
-119.8334,61.1665,-153.734497680664,0.103605913446408
-119.5001,61.1665,-153.620502319336,0.0832317303844876
-118.5001,61.1665,-153.592003479004,0.0651425314867262
-118.1667,61.1665,-153.58249420166,0.0543715487484801
-117.8334,61.1665,-153.563504638672,0.0459466345913192
-117.5001,61.1665,-153.34499420166,0.0409504887435459
-117.1667,61.1665,-156.935993041992,0.0409504887435459
-116.8334,61.1665,-156.90749420166,0.0233416503941042
-116.5001,61.1665,-156.869500579834,0.023245327742246
-116.1667,61.1665,-156.86000579834,0.0236784050100883
-134.5,60.8332,-167.062996520996,0.00107709388769655
-134.1667,60.8332,-166.720995941162,0.00122257611953926
-133.8334,60.8332,-167.623493041992,0.00148817708027807
-133.5,60.8332,-169.267003479004,0.00148817708027807
-133.1667,60.8332,-165.770995941162,0.00132390613097606
-132.8334,60.8332,-167.062996520996,0.00139212886886338
-130.8334,60.8332,-166.64499420166,0.00083290876091813
-130.5,60.8332,-165.609497680664,0.000765772665765271
-130.1667,60.8332,-165.305505218506,0.000690631374478808
-129.8334,60.8332,-164.859004058838,0.000579411822750347
-129.5001,60.8332,-162.968498840332,0.000579411822750347
-129.1667,60.8332,-162.398493041992,0.000476541286307105
-125.1667,60.8332,-162.854503479004,0.088303996460193
-124.8334,60.8332,-163.74750579834,0.088303996460193
-124.5001,60.8332,-164.042003479004,0.113426223010572
-124.1667,60.8332,-160.308495941162,0.146289842636415
-123.8334,60.8332,-157.90499710083,0.166065531553992
-123.5001,60.8332,-160.318005218506,0.153029112845568
-123.1667,60.8332,-153.240493621826,0.184610809067119
-122.8334,60.8332,-155.359004058838,0.156936049459075
-122.5001,60.8332,-156.375496520996,0.14554730640644
-122.1667,60.8332,-156.442003479004,0.131869709558896
-121.8334,60.8332,-155.95749420166,0.131281853619765
-121.5001,60.8332,-155.605998840332,0.131281853619765
-121.1667,60.8332,-155.111994781494,0.124784625534652
-120.8334,60.8332,-154.997999420166,0.120541791854687
-120.5001,60.8332,-154.57999710083,0.111180840253982
-120.1667,60.8332,-154.047999420166,0.105266765522834
-119.8334,60.8332,-153.620502319336,0.105266765522834
-119.5001,60.8332,-153.516001739502,0.0897859273046709
-117.8334,60.8332,-152.898493041992,0.0596611798538261
-117.5001,60.8332,-156.565493621826,0.0515482005666084
-117.1667,60.8332,-156.565493621826,0.0306406020232475
-116.8334,60.8332,-156.442003479004,0.0291665645696294
-116.5001,60.8332,-155.985993041992,0.028258900045785
-116.1667,60.8332,-155.691495361328,0.028258900045785
-115.8334,60.8332,-155.615493621826,0.027736831108746
-113.1667,60.8332,-155.748493041992,0.0250908071163008
-112.8334,60.8332,-155.76749710083,0.0252213514051823
-135.8334,60.4999,-167.528501739502,0.000352158585053252
-135.5,60.4999,-169.760993041992,0.000323494033952525
-135.1667,60.4999,-166.711501159668,0.00302573314942399
-134.8334,60.4999,-165.428995361328,0.00316527330500205
-134.5,60.4999,-169.609004058838,0.00316527330500205
-134.1667,60.4999,-165.049001159668,0.00484153073397162
-133.8334,60.4999,-165.856506958008,0.00476440866519724
-133.5,60.4999,-164.877993621826,0.00447748825258809
-133.1667,60.4999,-165.704503479004,0.00579792801015035
-132.8334,60.4999,-164.678501739502,0.00422634306816121
-132.5,60.4999,-165.894500579834,0.0037795118044988
-131.5,60.4999,-167.54750579834,0.00119238480132214
-131.1667,60.4999,-168.003501739502,0.00114882399084883
-130.8334,60.4999,-167.83249420166,0.000867240204862713
-130.5,60.4999,-166.151004638672,0.00112658283720513
-130.1667,60.4999,-162.75000289917,0.000874144974751908
-129.8334,60.4999,-165.210499420166,0.000751701700456112
-129.5001,60.4999,-161.106506958008,0.000667152266930044
-129.1667,60.4999,-161.362996520996,0.000560623054051241
-128.8334,60.4999,-162.13249420166,0.000560623054051241
-128.5001,60.4999,-162.521997680664,0.0143976924985201
-125.1667,60.4999,-159.957000579834,0.0859789058688579
-124.8334,60.4999,-160.336994781494,0.103307151717754
-124.5001,60.4999,-161.210993041992,0.134456275691069
-124.1667,60.4999,-158.057000579834,0.134456275691069
-123.8334,60.4999,-157.306506958008,0.207044580140079
-123.5001,60.4999,-156.831506958008,0.293729765766397
-123.1667,60.4999,-153.002993621826,0.218275573432054
-122.8334,60.4999,-154.067003479004,0.175965083285472
-122.5001,60.4999,-154.712996520996,0.167277578609122
-122.1667,60.4999,-155.235499420166,0.153454614819316
-121.8334,60.4999,-155.416001739502,0.137784709066206
-121.5001,60.4999,-154.665493621826,0.127582106218767
-120.1667,60.4999,-155.416001739502,0.106528842312468
