"site","species","count","foraging","diet"
55,"carw",1,"ground","insectivore"
55,"cogr",3,"ground","omnivore"
55,"eawp",1,"aerial","insectivore"
55,"grca",6,"ground","omnivore"
55,"modo",2,"ground","granivore"
55,"sosp",1,"ground","omnivore"
56,"amro",1,"ground","omnivore"
56,"carw",2,"ground","insectivore"
56,"cogr",1,"ground","omnivore"
56,"sosp",2,"ground","omnivore"
57,"amro",1,"ground","omnivore"
57,"cach",1,"foliage","insectivore"
57,"cedw",15,"foliage","omnivore"
57,"cogr",3,"ground","omnivore"
57,"grca",1,"ground","omnivore"
57,"noca",4,"ground","omnivore"
57,"sosp",2,"ground","omnivore"
58,"amro",1,"ground","omnivore"
58,"cach",1,"foliage","insectivore"
58,"grca",4,"ground","omnivore"
58,"hofi",1,"ground","granivore"
58,"howr",1,"ground","insectivore"
58,"noca",6,"ground","omnivore"
58,"sosp",2,"ground","omnivore"
58,"tuti",2,"foliage","insectivore"
59,"amro",1,"ground","omnivore"
59,"cach",4,"foliage","insectivore"
59,"eabl",2,"aerial","insectivore"
59,"grca",2,"ground","omnivore"
59,"hofi",1,"ground","granivore"
59,"howr",2,"ground","insectivore"
59,"modo",2,"ground","granivore"
59,"noca",4,"ground","omnivore"
59,"nomo",1,"ground","omnivore"
60,"tuti",1,"foliage","insectivore"
60,"wbnu",1,"bark","insectivore"
61,"amcr",1,"ground","omnivore"
61,"amro",1,"ground","omnivore"
61,"bhco",2,"ground","omnivore"
61,"howr",2,"ground","insectivore"
61,"rbwo",1,"bark","omnivore"
61,"sosp",1,"ground","omnivore"
62,"amro",1,"ground","omnivore"
62,"grca",2,"ground","omnivore"
62,"hofi",1,"ground","granivore"
62,"noca",3,"ground","omnivore"
62,"rthu",2,"foliage","nectarivore"
62,"sosp",1,"ground","omnivore"
63,"amcr",3,"ground","omnivore"
63,"blja",1,"ground","omnivore"
63,"carw",1,"ground","insectivore"
63,"noca",4,"ground","omnivore"
63,"tuti",1,"foliage","insectivore"
64,"amro",1,"ground","omnivore"
64,"bhco",1,"ground","omnivore"
64,"blja",1,"ground","omnivore"
64,"cach",1,"foliage","insectivore"
64,"carw",4,"ground","insectivore"
64,"grca",3,"ground","omnivore"
64,"hofi",4,"ground","granivore"
64,"noca",5,"ground","omnivore"
64,"sosp",2,"ground","omnivore"
64,"tuti",2,"foliage","insectivore"
65,"cach",1,"foliage","insectivore"
65,"carw",1,"ground","insectivore"
65,"cogr",1,"ground","omnivore"
65,"grca",4,"ground","omnivore"
65,"modo",5,"ground","granivore"
65,"noca",10,"ground","omnivore"
65,"sosp",3,"ground","omnivore"
65,"wbnu",2,"bark","insectivore"
66,"amro",1,"ground","omnivore"
66,"blja",2,"ground","omnivore"
66,"cach",1,"foliage","insectivore"
66,"howr",1,"ground","insectivore"
66,"noca",2,"ground","omnivore"
66,"rbwo",1,"bark","omnivore"
66,"rthu",1,"foliage","nectarivore"
66,"rwbl",1,"ground","omnivore"
67,"amgo",1,"foliage","granivore"
67,"blja",6,"ground","omnivore"
67,"cach",10,"foliage","insectivore"
67,"dowo",1,"bark","insectivore"
67,"grca",1,"ground","omnivore"
67,"howr",2,"ground","insectivore"
67,"noca",2,"ground","omnivore"
67,"nomo",1,"ground","omnivore"
67,"sosp",1,"ground","omnivore"
67,"tuti",1,"foliage","insectivore"
68,"cach",1,"foliage","insectivore"
